"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
569,180,"dam",0,0,NA,NA,NA,NA,NA,NA,-812967.475000001,-1090594.094,c(-812967.475000001, -1090594.094)
570,181,"dam",0,0,NA,NA,NA,NA,NA,NA,-812716.184999999,-1082182.609,c(-812716.184999999, -1082182.609)
571,182,"dam",0,0,NA,NA,NA,NA,NA,NA,-813142.105999999,-1081002.606,c(-813142.105999999, -1081002.606)
572,183,"dam",0,0,NA,NA,NA,NA,NA,NA,-812950.842999998,-1080515.302,c(-812950.842999998, -1080515.302)
573,184,"dam",0,0,NA,NA,NA,NA,NA,NA,-813794.033,-1079461.409,c(-813794.033, -1079461.409)
574,185,"dam",0,0,NA,NA,NA,NA,NA,NA,-814279.109999999,-1079025.282,c(-814279.109999999, -1079025.282)
575,186,"dam",0,0,NA,NA,NA,NA,NA,NA,-814356.476,-1078351.543,c(-814356.476, -1078351.543)
576,187,"dam",0,0,NA,NA,NA,NA,NA,NA,-813887.169,-1079136.417,c(-813887.169, -1079136.417)
577,188,"dam",0,0,NA,NA,NA,NA,NA,NA,-814634.627999999,-1077833.622,c(-814634.627999999, -1077833.622)
579,189,"dam",0,0,NA,NA,NA,NA,NA,NA,-815214.072000001,-1077587.198,c(-815214.072000001, -1077587.198)
580,190,"dam",0,0,NA,NA,NA,NA,NA,NA,-812702.943,-1081942.017,c(-812702.943, -1081942.017)
581,191,"dam",0,0,NA,NA,NA,NA,NA,NA,-812814.984999999,-1081618.481,c(-812814.984999999, -1081618.481)
582,192,"dam",0,0,NA,NA,NA,NA,NA,NA,-816011.495000001,-1075830.972,c(-816011.495000001, -1075830.972)
583,193,"dam",0,0,NA,NA,NA,NA,NA,NA,-816127.655999999,-1075847.796,c(-816127.655999999, -1075847.796)
584,194,"dam",0,0,NA,NA,NA,NA,NA,NA,-816790.263,-1075675.951,c(-816790.263, -1075675.951)
585,195,"dam",0,0,NA,NA,NA,NA,NA,NA,-812989.598999999,-1081152.564,c(-812989.598999999, -1081152.564)
586,196,"dam",0,0,NA,NA,NA,NA,NA,NA,-817988.91,-1074967.749,c(-817988.91, -1074967.749)
587,197,"dam",1,1,NA,NA,NA,NA,NA,NA,-819701.475000001,-1073856.516,c(-819701.475000001, -1073856.516)
