"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
29,103,"dam",0,0,20369.5611392948,1154635.04297332,0.0176415580518332,0.0176411112863675,0.00253252450120559,"1",-568136.383000001,-1102506.413,c(-568136.383000001, -1102506.413)
30,104,"dam",0,0,20407.8114218268,1154635.04297332,0.0176746856472277,0.0176411112863675,0.190318854153603,"1",-566153.495999999,-1101982.831,c(-566153.495999999, -1101982.831)
31,105,"dam",0,0,20370.8777044383,1154635.04297332,0.0176426982953686,0.0176411112863675,0.00899608292951175,"1",-567665.897,-1102484.922,c(-567665.897, -1102484.922)
32,106,"dam",0,0,20376.6762613004,1154635.04297332,0.0176477202777667,0.0176411112863675,0.0374635775031187,"1",-571418.059,-1105122.857,c(-571418.059, -1105122.857)
33,107,"dam",0,0,20371.2615293933,1154635.04297332,0.0176430307163854,0.0176411112863675,0.0108804371032633,"1",-570954.442000002,-1104093.227,c(-570954.442000002, -1104093.227)
34,108,"dam",0,0,20373.2603474052,1154635.04297332,0.0176447618417519,0.0176411112863675,0.0206934547663516,"1",-570181.217999998,-1103311.461,c(-570181.217999998, -1103311.461)
35,109,"dam",0,0,20396.3869687409,1154635.04297332,0.0176647912194122,0.0176411112863675,0.134231526916324,"1",-578513.811999999,-1104425.835,c(-578513.811999999, -1104425.835)
36,110,"dam",0,0,20372.4529573157,1154635.04297332,0.017644062581761,0.0176411112863675,0.0167296455737975,"1",-582658.166999999,-1104917.895,c(-582658.166999999, -1104917.895)
37,111,"dam",0,0,20381.9122254694,1154635.04297332,0.0176522550129637,0.0176411112863675,0.0631690737350448,"1",-581138.670000002,-1104636.76,c(-581138.670000002, -1104636.76)
38,112,"dam",0,0,20390.4409376711,1154635.04297332,0.0176596415133593,0.0176411112863675,0.1050400209543,"1",-574710.460000001,-1105839.4,c(-574710.460000001, -1105839.4)
40,113,"dam",0,0,20371.675373914,1154635.04297332,0.0176433891365834,0.0176411112863675,0.012912169640849,"1",-568534.098999999,-1102538.483,c(-568534.098999999, -1102538.483)
41,114,"dam",0,0,20370.1079452294,1154635.04297332,0.017642031626525,0.0176411112863675,0.00521701916902266,"1",-570869.535,-1103561.728,c(-570869.535, -1103561.728)
42,115,"dam",0,0,20378.9289069004,1154635.04297332,0.0176496712367418,0.0176411112863675,0.0485227389324305,"1",-572987.170000002,-1105940.591,c(-572987.170000002, -1105940.591)
43,116,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-577701.559999999,-1221376.49,c(-577701.559999999, -1221376.49)
44,117,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-568508.800000001,-1210037.34,c(-568508.800000001, -1210037.34)
45,118,"dam",0,0,20562.1691179201,1154635.04297332,0.0178083709160342,0.0176411112863675,0.948124111636622,"1",-573409.77,-1214809.67,c(-573409.77, -1214809.67)
46,119,"dam",0,0,20432.5088189138,1154635.04297332,0.0176960754337558,0.0176411112863675,0.311568508899547,"1",-575921.407000002,-1219657.066,c(-575921.407000002, -1219657.066)
47,120,"dam",0,0,21312.2507249836,1154635.04297332,0.0184579974899272,0.0176411112863675,4.63058245197339,"1",-563342.379999999,-1203815.87,c(-563342.379999999, -1203815.87)
